train/n_updates,train/loss,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
40817815,8.625380723970011e-05,35308.8,0.03518934426229514,40818816,4.64348371328552e-05,443,92034,-6007020.724034232,1156,,
40957207,5.578298441832885e-05,35308.8,0.032577595628415223,40958208,4.628606664105191e-05,443,92338,-5998713.767822331,1160,,
41098903,7.813212141627446e-05,35308.8,0.02992267759562839,41099904,4.613483713285519e-05,443,92647,-5817036.2392837405,1164,,
41241751,7.470334094250575e-05,35308.8,0.027246174863387984,41242752,4.5982378116461753e-05,443,92959,-5612067.045529969,1168,,
41382295,0.00011451778118498623,35308.8,0.02461284153005472,41383296,4.5832378116461757e-05,443,93267,-5584263.33681535,1172,,
41523991,0.00029957888182252645,35308.8,0.021957923497267773,41524992,4.568114860826503e-05,443,93579,-5364612.72151844,1176,,
41663383,0.00013592824689112604,35308.8,0.019346174863387966,41664384,4.553237811646175e-05,443,93884,-5263546.58245653,1180,,
41805079,0.00012887141201645136,35308.8,0.01669125683060113,41806080,4.5381148608265035e-05,443,94200,-5217676.78324745,1184,,
41947927,0.00010218389797955751,35308.8,0.014014754098360505,41948928,4.522868959187158e-05,443,94518,-5170612.66187152,1188,,
42088471,8.624840847915038e-05,35308.8,0.01138142076502735,42089472,4.507868959187159e-05,443,94830,-5049351.44768752,1192,,
42162199,7.516604819102213e-05,,0.010000018736718297,42163200,4.5000001067281425e-05,,,,,1261440.0,-110469632.65473399
42230167,2.5773246306926012e-05,35308.8,0.01,42231168,4.4927460083674865e-05,416,101513,-4845956.588361051,1196,,
42369559,4.9534504796611145e-05,35308.8,0.01,42370560,4.4778689591871585e-05,416,101819,-4794871.552244561,1200,,
42511255,0.0001439026091247797,35308.8,0.01,42512256,4.4627460083674864e-05,416,102130,-4685934.41648914,1204,,
42654103,3.320522228023037e-05,35308.8,0.01,42655104,4.4475001067281426e-05,416,102442,-4607146.360331279,1208,,
42794647,2.192941610701382e-05,35308.8,0.01,42795648,4.432500106728142e-05,416,102749,-4469905.90502467,1212,,
42936343,1.9171737221768126e-05,35308.8,0.01,42937344,4.41737715590847e-05,416,103059,-4243201.73042801,1216,,
43075735,3.5272496461402625e-05,35308.8,0.01,43076736,4.402500106728142e-05,416,103364,-4143250.69194474,1220,,
43217431,2.1913161617703736e-05,35308.8,0.01,43218432,4.387377155908471e-05,416,103676,-3995462.16761568,1224,,
43360279,1.7866714188130572e-05,35308.8,0.01,43361280,4.3721312542691255e-05,416,103988,-3815708.5970535898,1228,,
43500823,2.1647181711159647e-05,35308.8,0.01,43501824,4.357131254269126e-05,417,104297,-3726096.8793014293,1232,,
43642519,1.226141375809675e-05,35308.8,0.01,43643520,4.342008303449453e-05,417,104609,-3487430.14803564,1236,,
43781911,2.0730636606458575e-05,35308.8,0.01,43782912,4.3271312542691265e-05,417,104917,-3434021.923931669,1240,,
43923607,2.8214963094796985e-05,35308.8,0.01,43924608,4.312008303449454e-05,417,105231,-3218620.1944382996,1244,,
44066455,0.00011711398838087916,35308.8,0.01,44067456,4.29676240181011e-05,417,105546,-3213334.3201750205,1248,,
44206999,2.600067455205135e-05,35308.8,0.01,44208000,4.2817624018101095e-05,417,105858,-3139910.67357165,1252,,
44348695,4.1332561522722244e-05,35308.8,0.01,44349696,4.2666394509904373e-05,417,106169,-2983481.6030149297,1256,,
44488087,2.4837238015607e-05,35308.8,0.01,44489088,4.2517624018101094e-05,417,106474,-2822791.4291587705,1260,,
44629783,4.6220004151109606e-05,35308.8,0.01,44630784,4.236639450990438e-05,417,106785,-2749181.80121943,1264,,
44772631,3.5543089325074106e-05,35308.8,0.01,44773632,4.2213935493510934e-05,418,107098,-2706873.6027587103,1268,,
44913175,0.0007256076787598431,35308.8,0.01,44914176,4.206393549351093e-05,418,107408,-2603767.07305043,1272,,
45054871,2.5864017516141757e-05,35308.8,0.01,45055872,4.1912705985314216e-05,418,107720,-2550163.2944098897,1276,,
45194263,5.723936919821426e-05,35308.8,0.01,45195264,4.176393549351094e-05,418,108027,-2459584.8331586104,1280,,
45335959,0.00014458650548476726,35308.8,0.01,45336960,4.161270598531421e-05,418,108337,-2362609.41806314,1284,,
45478807,0.00016583583783358335,35308.8,0.01,45479808,4.1460246968920764e-05,418,108650,-2271543.01591915,1288,,
45619351,0.00043594822636805475,35308.8,0.01,45620352,4.131024696892076e-05,418,108959,-2248339.27039385,1292,,
45761047,1.3163933545001782e-05,35308.8,0.01,45762048,4.1159017460724046e-05,418,109271,-2232374.8606741596,1296,,
45900439,2.688183303689584e-05,35308.8,0.01,45901440,4.1010246968920766e-05,418,109576,-2156454.39082884,1300,,
46042135,1.1738031389540993e-05,35308.8,0.01,46043136,4.085901746072405e-05,418,109888,-2128135.13226081,1304,,
46184983,5.075830267742276e-05,35308.8,0.01,46185984,4.070655844433061e-05,419,110202,-2095138.50205556,1308,,
46325527,1.8880029529100284e-05,35308.8,0.01,46326528,4.05565584443306e-05,419,110511,-2108151.2414423604,1312,,
46467223,3.059599839616567e-05,35308.8,0.01,46468224,4.040532893613389e-05,419,110821,-2144510.7186056604,1316,,
46606615,2.326983303646557e-05,35308.8,0.01,46607616,4.025655844433061e-05,419,111133,-2119470.4143619,1320,,
46748311,2.2613581677433103e-05,35308.8,0.01,46749312,4.010532893613388e-05,419,111446,-2108703.65587564,1324,,
46891159,2.275151200592518e-05,35308.8,0.01,46892160,3.9952869919740436e-05,419,111760,-2108666.92707166,1328,,
47031703,1.883846016426105e-05,35308.8,0.01,47032704,3.980286991974043e-05,419,112069,-2076367.6702734604,1332,,
47173399,2.0111292542424053e-05,35308.8,0.01,47174400,3.965164041154372e-05,419,112379,-2103676.0688925097,1336,,
47312791,1.2719858204945922e-05,35308.8,0.01,47313792,3.950286991974044e-05,419,112685,-2099749.22302192,1340,,
47454487,1.8192982679465786e-05,35308.8,0.01,47455488,3.935164041154372e-05,419,112994,-2071907.6813617197,1344,,
47597335,7.158632070058957e-05,35308.8,0.01,47598336,3.919918139515028e-05,420,113307,-2108763.0610550595,1348,,
47737879,1.5569483366562054e-05,35308.8,0.01,47738880,3.9049181395150275e-05,420,113613,-2113879.8022583495,1352,,
47879575,3.1404022593051195e-05,35308.8,0.01,47880576,3.889795188695356e-05,420,113922,-2109368.48906579,1356,,
48018967,3.138529064017348e-05,35308.8,0.01,48019968,3.874918139515028e-05,420,114226,-2113291.57186076,1360,,
48160663,1.2817657989216968e-05,35308.8,0.01,48161664,3.8597951886953554e-05,420,114537,-2103988.6038211603,1364,,
48303511,1.9963319573435e-05,35308.8,0.01,48304512,3.844549287056011e-05,420,114855,-1994425.6995752102,1368,,
48444055,2.907441376009956e-05,35308.8,0.01,48445056,3.829549287056012e-05,420,115174,-1976223.42806999,1372,,
48585751,2.863180634449236e-05,35308.8,0.01,48586752,3.814426336236339e-05,420,115494,-1931800.4385522304,1376,,
48725143,2.4915754693211056e-05,35308.8,0.01,48726144,3.799549287056011e-05,420,115809,-1931289.70814161,1380,,
48866839,2.8186477720737457e-05,35308.8,0.01,48867840,3.784426336236339e-05,420,116127,-2049242.8739383398,1384,,
49009687,3.499884041957557e-05,35308.8,0.01,49010688,3.769180434596995e-05,420,116443,-2098347.72849409,1388,,
49150231,6.953191041247919e-05,35308.8,0.01,49151232,3.754180434596995e-05,420,116758,-2166768.9248267394,1392,,
49291927,2.3253825929714367e-05,35308.8,0.01,49292928,3.739057483777323e-05,421,117073,-2143419.496591,1396,,
49431319,2.6460804292582907e-05,35308.8,0.01,49432320,3.724180434596995e-05,421,117379,-2119208.3513189005,1400,,
49573015,0.00030883713043294847,35308.8,0.01,49574016,3.709057483777322e-05,421,117691,-2150212.8179619103,1404,,
49715863,2.1755371562903747e-05,35308.8,0.01,49716864,3.693811582137978e-05,421,118003,-2131521.4857952096,1408,,
49856407,3.561607445590198e-05,35308.8,0.01,49857408,3.678811582137979e-05,421,118309,-2124757.9651419204,1412,,
49998103,4.894191079074517e-05,35308.8,0.01,49999104,3.663688631318306e-05,421,118621,-2088063.1285063499,1416,,
50137495,5.3592790209222585e-05,35308.8,0.01,50138496,3.6488115821379784e-05,421,118925,-2064740.26002493,1420,,
50279191,3.76122843590565e-05,35308.8,0.01,50280192,3.633688631318306e-05,421,119235,-2082112.6098760704,1424,,
50422039,3.641041257651523e-05,35308.8,0.01,50423040,3.6184427296789624e-05,421,119546,-2154990.42017168,1428,,
50562583,2.0454965124372393e-05,35308.8,0.01,50563584,3.603442729678962e-05,421,119853,-2153070.8576682196,1432,,
50704279,1.8548986190580763e-05,35308.8,0.01,50705280,3.58831977885929e-05,421,120162,-2158328.0824102303,1436,,
50843671,6.37712946627289e-05,35308.8,0.01,50844672,3.573442729678962e-05,422,120476,-2140816.67928607,1440,,
50985367,4.826922668144107e-05,35308.8,0.01,50986368,3.558319778859289e-05,422,120792,-2135119.19957414,1444,,
51128215,3.867998384521343e-05,35308.8,0.01,51129216,3.543073877219945e-05,422,121105,-2066009.8040953903,1448,,
51268759,1.949752913787961e-05,35308.8,0.01,51269760,3.5280738772199456e-05,422,121418,-2061039.1151947305,1452,,
51410455,3.5951998142991215e-05,35308.8,0.01,51411456,3.512950926400273e-05,422,121732,-2073667.0590891198,1456,,
51549847,2.150253021682147e-05,35308.8,0.01,51550848,3.498073877219945e-05,422,122044,-2039789.6074048504,1460,,
51691543,1.05526687548263e-05,35308.8,0.01,51692544,3.4829509264002735e-05,422,122355,-2032929.27602843,1464,,
51834391,1.8822200217982754e-05,35308.8,0.01,51835392,3.4677050247609296e-05,422,122671,-2051497.61344962,1468,,
51974935,2.2507287212647498e-05,35308.8,0.01,51975936,3.452705024760929e-05,422,122980,-2021666.83432638,1472,,
52116631,2.0664741896325722e-05,35308.8,0.01,52117632,3.437582073941257e-05,422,123294,-2071889.0227854503,1476,,
