#{"t_start": 1769525024.005136, "env_id": "None"}
r,l,t
-30055221.95843,34560,24823.712394
-9099939.457376,35712,24896.168153
-21505152.526022,35712,24968.774098
-14399614.517897,35712,25041.155612
-11437198.35612,35712,25114.070088
-7449790.281653,35712,25186.540927
-4055276.953799,35712,25259.138634
-11861143.31409,35712,25331.569032
-7057790.886978,34560,25401.609688
-13647993.968433,35712,25474.05915
-9338772.556904,35712,25546.900538
-7832592.446849,34560,25616.951772
-17996432.753232,34560,25686.836091
-16454341.720396,35712,25759.705779
-6831221.897286,35712,25832.0904
-35472173.533784,35712,25904.662505
-21342964.248527,34560,25974.893588
-18567007.370612,34560,26045.277403
-22855448.673895,34560,26115.846677
-2239347.41337,35712,26188.609953
-5752549.412944,34560,26259.170245
-18907225.013698,35712,26331.873937
-11758891.716652,35712,26404.287678
-10903720.438216,35712,26476.826503
-17175620.967212,35712,26549.477808
-30762489.499765,35712,26622.380797
-2134851.996966,35712,26695.223109
-18718337.231058,35712,26768.415378
-10738647.227138,34560,26839.243939
-19577711.036938,35712,26911.828955
-36764600.304421,35712,26984.50064
-5014142.030681,34560,27054.455577
-8884591.010384,34560,27124.850003
-14393691.062869,35712,27197.313701
-15591521.763942,35712,27269.746372
-12797585.809172,35712,27342.228394
-14871885.879566,34560,27412.516956
-8596999.022193,34560,27482.986199
-11330202.6068,34560,27553.806604
-5032967.755078,35712,27626.472734
-30779434.698427,34560,27696.98042
-10663416.24537,35712,27769.957843
-15605004.817766,35712,27842.801288
-9007401.459149,35712,27915.848056
-24295938.453447,35712,27988.864414
-13187966.38676,35712,28061.645719
-26849747.36405,35712,28134.232001
-15557292.153185,35712,28207.319936
-8764648.1047,34560,28278.574105
-7921945.723658,35712,28353.73176
-4661769.344337,35712,28428.57921
-8077454.007846,34560,28499.144321
-6809998.160351,34560,28569.67364
-12772961.38679,35712,28643.682267
-9210910.305495,35712,28719.243486
-9853808.099815,35712,28794.770164
-15194622.663339,34560,28867.232973
-15398040.862794,34560,28937.783303
-28340927.353898,34560,29008.149954
-19697539.042712,35712,29080.783459
-5053259.880941,34560,29151.078515
-20291042.038069,35712,29223.937305
-17097054.789619,35712,29296.834384
-13987324.525883,35712,29369.744876
-26820868.86226,35712,29442.844193
-27913882.623522,35712,29516.155532
-2817973.59717,35712,29589.406636
-11479926.709885,35712,29662.140038
-6057144.192478,34560,29732.544465
-26424124.010426,35712,29806.656343
-6550303.561431,35712,29880.974509
-11177260.254675,34560,29951.706778
-9401694.81141,34560,30022.537009
-6862272.564688,35712,30095.928092
-11171889.973951,35712,30169.179406
-6586101.863915,35712,30241.998096
-13669694.718712,34560,30312.508017
-10357243.32208,34560,30383.147797
-11875395.339313,34560,30453.627472
-5715128.15157,35712,30526.537309
-19669398.425462,34560,30597.31992
-32269062.729516,35712,30670.719125
-6426103.766559,35712,30743.530537
-7734962.228027,35712,30816.923646
-8079772.715616,35712,30890.744088
-8410025.897104,35712,30963.775331
-5019786.457981,35712,31037.314271
-6963044.54001,35712,31110.369613
-15232655.986663,34560,31181.066257
-18293263.156991,35712,31254.12281
-23751291.227732,35712,31327.24456
-11220021.708122,34560,31398.554001
-5928997.369762,34560,31469.597802
-14313561.035817,35712,31543.071169
-6965937.279281,35712,31616.586655
-5130407.275512,35712,31690.295671
-29129810.278897,34560,31761.91583
-14457163.917175,34560,31833.805638
-6844105.353347,34560,31904.471304
-26149014.547712,35712,31977.638911
-14832102.271671,34560,32048.801871
-14347124.413073,35712,32123.97845
-9624903.975489,35712,32198.941857
-18148910.234285,35712,32273.398333
-17272793.259131,35712,32346.746543
-20716003.085415,35712,32420.290915
-6958306.306888,35712,32493.553693
-23016581.521918,35712,32567.17744
-4828760.412091,34560,32638.931187
-7573493.148486,35712,32712.578243
-18008090.330418,35712,32786.323001
-5256779.794547,34560,32857.541713
-7918140.622177,34560,32928.653433
-12252164.683761,35712,33002.166788
-14592120.068678,35712,33075.891984
-17711407.555923,35712,33149.764933
-5553206.700481,34560,33222.147593
-16540158.363193,34560,33293.979223
-24328476.721804,34560,33365.19541
-2706747.507012,35712,33438.533208
-7968396.242405,34560,33509.973337
-16343410.51527,35712,33583.624216
-6000133.651591,35712,33657.683526
-14004929.805454,35712,33731.696185
-18450626.98338,35712,33805.256255
-20789332.92545,35712,33878.93311
-9967092.856986,35712,33952.658231
-15027477.92844,35712,34027.803809
-4815327.653104,34560,34100.040018
-16149494.950627,35712,34174.590045
-7736577.160828,35712,34249.102759
-21132454.732277,34560,34321.230185
-5393974.264433,34560,34392.977154
-14033852.051534,35712,34467.360998
-9491361.239264,35712,34542.519278
-34464153.361747,35712,34616.165627
-6189346.745699,34560,34688.421348
-8056338.191338,34560,34760.992789
-8223061.073486,34560,34833.183645
-5902029.835472,35712,34906.883445
-5164166.240615,34560,34978.577217
-30108427.03555,35712,35052.883585
-13396692.342927,35712,35127.35787
-12488473.109727,35712,35201.81704
-5106352.693457,35712,35276.037894
-7629648.987912,35712,35350.460601
-6006516.568395,35712,35424.363554
-8023921.866313,35712,35498.112005
-5004777.360181,34560,35569.156124
-11625500.575898,35712,35643.418719
-5631572.341322,35712,35716.60615
-9565497.995498,34560,35787.499437
-8344636.874352,34560,35858.652893
-9007063.001162,35712,35932.47704
-10597008.308079,35712,36006.469906
-16959694.530549,35712,36079.896312
-5061594.422641,34560,36151.277181
-13733417.618827,34560,36222.435334
-21494875.335793,34560,36294.085089
-2434835.274289,35712,36368.194118
-15714923.641102,34560,36439.782182
-15049157.396098,35712,36513.55371
-12532168.359079,35712,36586.870924
-10552771.302434,35712,36661.137633
-13775820.941366,35712,36742.79371
-19580101.073442,35712,36817.408442
-4274562.168342,35712,36891.806164
-25346000.870853,35712,36965.716124
-32439776.201623,34560,37037.614246
-16904100.734582,35712,37112.237707
-14014414.460355,35712,37186.882689
-11261143.720528,34560,37258.889449
-23317629.901764,34560,37331.470428
-8589166.702034,35712,37406.309555
-10787933.719208,35712,37480.740908
-10143268.807555,35712,37554.833383
-8102720.599925,34560,37626.549998
-13783472.401358,34560,37698.482398
-20544077.520681,34560,37770.773281
-8647242.937569,35712,37845.635192
-6555285.165577,34560,37918.221141
-21173699.460303,35712,37992.121485
-8349306.772513,35712,38066.580779
-14657798.322659,35712,38140.714516
-11125291.076327,35712,38214.926555
-11808872.353173,35712,38288.916774
-3495542.56724,35712,38363.036425
-10822689.387807,35712,38437.906253
-11177809.954382,34560,38509.812881
-14698896.236111,35712,38583.970602
-9902272.860527,35712,38658.5964
-13360008.884823,34560,38730.343282
-10137518.123594,34560,38801.893696
-18490896.627502,35712,38876.515563
-6239144.937098,35712,38950.669546
-14380989.482134,35712,39024.686041
