#{"t_start": 1767930881.8028767, "env_id": "None"}
r,l,t
-15625414.872383,8784,41915.980665
-22366918.691176,8784,41932.473223
-32350640.867998,8784,41948.913242
-24217874.932126,8784,41965.393296
-59462298.044473,8784,41981.817227
-40223707.168062,8784,41998.290541
-18194711.416387,8784,42014.876921
-33802517.495653,8784,42031.354447
-25472784.766821,8784,42047.862731
-38898370.52666,8784,42064.32209
-12514937.752906,8784,42080.815996
-51013174.104888,8784,42139.556155
-8658318.45034,8784,42156.116303
-6045206.950957,8784,42172.542628
-10164207.306932,8784,42188.986879
-8431956.21673,8784,42205.45403
-6760647.172949,8784,42221.948356
-19666963.325788,8784,42238.382528
-30967035.18408,8784,42254.854843
-6829972.653617,8784,42271.347803
-6349291.747361,8784,42287.779798
-12772078.689432,8784,42304.273573
-68624491.561626,8784,42320.789817
-16735606.845251,8784,42337.305194
-18438378.790738,8784,42353.778435
-23083692.722946,8784,42370.246755
-20260585.010546,8784,42386.814848
-10450073.907316,8784,42403.277953
-33921143.625347,8784,42419.804457
-38356566.21236,8784,42436.424325
-32117396.622786,8784,42452.885324
-33808917.434175,8784,42469.429591
-38803619.394762,8784,42485.935085
-6829860.99864,8784,42502.549858
-13404303.920758,8784,42519.189209
-36964186.061473,8784,42535.814538
-14727703.910717,8784,42552.545041
-34869074.389672,8784,42569.158329
-18719102.515693,8784,42585.79286
-36025099.755322,8784,42602.419452
-14351174.536081,8784,42619.032684
-33873672.936042,8784,42635.682125
-34159360.834778,8784,42652.28777
-51978527.371073,8784,42669.013632
-46608360.612836,8784,42685.688296
-30492552.91372,8784,42702.395653
-19451568.976479,8784,42719.155931
-31841706.878397,8784,42735.844323
-15360587.083292,8784,42752.477555
-10178944.212302,8784,42769.094678
-72757823.451336,8784,42785.745799
-11540253.256414,8784,42802.381661
-17715285.491428,8784,42818.977068
-14630995.243176,8784,42835.715821
-13268228.652246,8784,42852.405811
-34448796.264677,8784,42869.050823
-22327136.320827,8784,42888.477931
-9205156.78561,8784,42905.193723
-11320626.993419,8784,42921.964362
-21501924.08407,8784,42938.690221
-29365969.710036,8784,42955.365877
-16030900.993772,8784,43014.355451
-14089476.995047,8784,43036.38097
-70898981.77121,8784,43052.726112
-20917776.245633,8784,43068.945905
-22572375.456802,8784,43085.127188
-15321868.51097,8784,43101.397934
-31246968.222283,8784,43117.610703
-11794020.679219,8784,43133.803203
-4888843.230512,8784,43149.981824
-32649902.910062,8784,43166.173827
-24623498.194867,8784,43182.544298
-7633209.061176,8784,43199.057225
-29938103.980977,8784,43215.507438
-6965436.839552,8784,43232.008637
-25721836.505016,8784,43248.524254
-50808211.941866,8784,43265.163018
-11046617.343951,8784,43281.697157
-41479768.062577,8784,43298.284571
-24161915.989726,8784,43314.762243
-23130403.682823,8784,43331.219272
-13668681.01101,8784,43347.727875
-36060330.374996,8784,43364.131601
-27883624.240555,8784,43380.618212
-32883260.42343,8784,43397.114521
-27645118.634862,8784,43413.533498
-55797069.860464,8784,43430.043545
-21301824.795773,8784,43446.613381
-33641320.972926,8784,43463.114199
-9104840.782471,8784,43479.571641
-6647560.509624,8784,43496.128615
-48069493.051094,8784,43512.669917
-20464530.991537,8784,43529.201598
-30030454.348574,8784,43545.739066
-6003897.473801,8784,43562.286173
