train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
53827340,53828352,108656,4.680003415300547e-05,495,7.562987343590067e-06,0.1,-11348184.67501494,8784.0,6128,,
53862480,53863488,108727,4.6700022768670314e-05,495,5.917957605561242e-06,0.1,-11101342.53223099,8784.0,6132,,
53897620,53898624,108797,4.660001138433516e-05,495,6.426378308788116e-06,0.1,-10998373.024951601,8784.0,6136,,
53932740,53933760,108868,4.6500056921675786e-05,495,6.085844893277681e-06,0.1,-11166866.765937151,8784.0,6140,,
53967880,53968896,108938,4.640004553734063e-05,495,7.934290488265106e-06,0.1,-11341386.257816888,8784.0,6144,,
54003020,54004032,109009,4.630003415300546e-05,495,6.485855556093156e-06,0.1,-11417866.135977462,8784.0,6148,,
54020580,54021600,,4.6250056921675767e-05,,6.274118459259626e-06,0.1,,,,8784.0,-6014844.6325918
54038160,54039168,109122,4.62000227686703e-05,495,5.7729011587071e-06,0.1,-11655452.26048451,8784.0,6152,,
54073300,54074304,109193,4.610001138433515e-05,495,6.936821205272281e-06,0.1,-11744720.03015187,8784.0,6156,,
54108420,54109440,109263,4.6000056921675774e-05,495,6.5473592258058485e-06,0.1,-11454143.695271349,8784.0,6160,,
54143560,54144576,109335,4.590004553734062e-05,495,5.49658249155982e-06,0.1,-11700931.418444542,8784.0,6164,,
54178700,54179712,109405,4.5800034153005465e-05,495,6.321493117411592e-06,0.1,-11539139.95885992,8784.0,6168,,
54213840,54214848,109476,4.570002276867032e-05,495,8.144401954268688e-06,0.1,-11855170.450529076,8784.0,6172,,
54248980,54249984,109545,4.560001138433516e-05,495,6.702208588649228e-06,0.1,-11690556.751185058,8784.0,6176,,
54284100,54285120,109615,4.550005692167578e-05,495,5.637757885779137e-06,0.1,-11441935.50826552,8784.0,6180,,
54319240,54320256,109686,4.540004553734063e-05,495,5.793836044176714e-06,0.1,-11403572.84556989,8784.0,6184,,
54354380,54355392,109756,4.530003415300548e-05,495,5.934520459049963e-06,0.1,-11197006.90670795,8784.0,6188,,
54389520,54390528,109826,4.5200022768670305e-05,495,5.124235133280308e-06,0.1,-10896659.56694005,8784.0,6192,,
54424660,54425664,109896,4.510001138433515e-05,495,6.624392403864476e-06,0.1,-10834789.323887408,8784.0,6196,,
54459780,54460800,,4.500005692167577e-05,,6.026362802913354e-06,0.1,,,,8784.0,-5946177.832378999
,54460800,110009,,495,,0.1,-10691051.83823679,8784.0,6200,,
54494920,54495936,110079,4.4900045537340616e-05,495,5.9164034155401165e-06,0.1,-10513907.34803066,8784.0,6204,,
54530060,54531072,110149,4.480003415300547e-05,495,5.983549942811805e-06,0.1,-10620511.799427988,8784.0,6208,,
54565200,54566208,110219,4.470002276867031e-05,495,5.670329619533731e-06,0.1,-10182192.142844819,8784.0,6212,,
54600340,54601344,110289,4.460001138433516e-05,495,6.966630121496564e-06,0.1,-9960403.631800579,8784.0,6216,,
54635460,54636480,110359,4.450005692167578e-05,495,4.98152014642983e-06,0.1,-9765889.52391253,8784.0,6220,,
